date,pid,race,lane,startCourse,class,age,avgST_rc,ec_avgST,flying,late,ss_starts,ss_first,ss_second,ss_third,ms_winRate,ms_top2Rate,ms_top3Rate,d_avgST_rc,d_age,d_class,rank_avgST,rank_age,rank_class,mean_avgST_rc,mean_age,mean_class,winK_逃げ,loseK_逃げ,winK_差し,loseK_差し,winK_まくり,loseK_まくり,winK_まくり差し,loseK_まくり差し,winK_抜き,loseK_抜き,winK_恵まれ,loseK_恵まれ,winK_total,loseK_total,rank,win,st,decision
20250818,12,7R,1,1,1,29,0.16,0.16,0,0,27,24,2,1,88.8,96.3,100.0,0.0,-11,-2,1,1,1,0.1616666666666666,34.833333333333336,2.0,23,0,0,1,0,0,0,2,1,0,0,0,24,3,1,1,0.08,逃げ
20250818,12,7R,2,2,1,29,0.16,0.18,0,0,14,2,2,2,14.2,28.5,42.8,0.0,-11,-2,2,2,2,0.1616666666666666,34.833333333333336,2.0,0,6,0,2,2,0,0,1,0,3,0,0,2,12,2,0,0.05,逃げ
20250818,12,7R,3,3,2,39,0.16,0.15,0,0,21,2,10,4,9.5,57.1,76.1,0.0,-1,-1,3,5,4,0.1616666666666666,34.833333333333336,2.0,0,11,0,3,0,2,1,1,1,2,0,0,2,19,3,0,0.08,逃げ
20250818,12,7R,4,4,4,29,0.16,0.15,1,0,13,3,0,2,23.0,23.0,38.4,0.0,-11,1,4,3,6,0.1616666666666666,34.833333333333336,2.0,0,3,0,4,3,2,0,0,0,1,0,0,3,10,5,0,0.08,逃げ
20250818,12,7R,5,5,3,38,0.17,0.15,1,0,20,2,2,6,10.0,20.0,50.0,0.01,-2,0,6,4,5,0.1616666666666666,34.833333333333336,2.0,0,8,0,2,1,4,1,3,0,1,0,0,2,18,6,0,0.09,逃げ
20250818,12,7R,6,6,1,45,0.16,0.22,1,0,18,0,0,3,0.0,0.0,16.6,0.0,5,-2,5,6,3,0.1616666666666666,34.833333333333336,2.0,0,14,0,1,0,0,0,2,0,1,0,0,0,18,4,0,0.1,逃げ
