date,pid,race,lane,startCourse,class,age,avgST_rc,ec_avgST,flying,late,ss_starts,ss_first,ss_second,ss_third,ms_winRate,ms_top2Rate,ms_top3Rate,win_k,lose_k,d_avgST_rc,d_age,d_class,rank_avgST,rank_age,rank_class,mean_avgST_rc,mean_age,mean_class,rank,win,st,decision
20250814,11,3R,1,1,3,42,0.2,0.17,0,0,17,6,3,3,35.2,52.9,70.5,6,3,0.04,2,0,5,5,4,0.166,34.833333333333336,2.5,4,0,0.1,まくり差し
20250814,11,3R,2,2,1,32,0.14,0.14,0,0,19,4,4,5,21.0,42.1,68.4,4,0,-0.0199999999999999,-8,-2,1,3,1,0.166,34.833333333333336,2.5,3,0,0.09,まくり差し
20250814,11,3R,3,3,3,50,0.17,0.14,0,0,16,1,5,3,6.2,37.5,56.2,1,1,0.01,10,0,4,6,5,0.166,34.833333333333336,2.5,1,1,0.03,まくり差し
20250814,11,3R,4,4,2,22,0.16,0.15,1,0,28,3,4,8,10.7,25.0,53.5,3,2,0.0,-18,-1,2,1,2,0.166,34.833333333333336,2.5,2,0,0.03,まくり差し
20250814,11,3R,5,5,2,40,0.16,0.18,1,0,20,1,6,2,5.0,35.0,45.0,1,2,0.0,0,-1,3,4,3,0.166,34.833333333333336,2.5,5,0,0.09,まくり差し
20250814,11,3R,6,6,4,23,,0.23,0,0,38,0,0,0,0.0,0.0,0.0,0,5,0.0,-17,1,6,2,6,0.166,34.833333333333336,2.5,6,0,0.07,まくり差し
