date,pid,race,lane,startCourse,class,age,avgST_rc,ec_avgST,flying,late,ss_starts,ss_first,ss_second,ss_third,ms_winRate,ms_top2Rate,ms_top3Rate,win_k,lose_k,d_avgST_rc,d_age,d_class,rank_avgST,rank_age,rank_class,mean_avgST_rc,mean_age,mean_class,rank,win,st,decision
20250812,16,3R,1,1,3,49,0.17,0.19,0,0,20,9,4,2,45.0,65.0,75.0,9,4,0.01,9,0,1,6,2,0.175,37.66666666666666,2.6666666666666665,2,0,0.12,まくり差し
20250812,16,3R,2,2,3,41,0.18,0.15,1,0,12,0,1,2,0.0,8.3,25.0,0,2,0.0199999999999999,1,0,5,5,3,0.175,37.66666666666666,2.6666666666666665,4,0,0.15,まくり差し
20250812,16,3R,3,3,3,30,0.17,0.18,0,0,21,2,6,8,9.5,38.1,76.1,2,1,0.01,-10,0,2,1,4,0.175,37.66666666666666,2.6666666666666665,1,1,0.16,まくり差し
20250812,16,3R,4,4,3,36,0.19,0.18,0,0,16,0,3,3,0.0,18.7,37.5,0,0,0.03,-4,0,6,3,5,0.175,37.66666666666666,2.6666666666666665,6,0,0.21,まくり差し
20250812,16,3R,5,5,3,39,0.17,0.17,0,0,17,0,0,1,0.0,0.0,5.8,0,4,0.01,-1,0,3,4,6,0.175,37.66666666666666,2.6666666666666665,5,0,0.24,まくり差し
20250812,16,3R,6,6,1,31,0.17,0.18,0,0,21,1,1,9,4.7,9.5,52.3,1,2,0.01,-9,-2,4,2,1,0.175,37.66666666666666,2.6666666666666665,3,0,0.18,まくり差し
