date,pid,race,lane,startCourse,class,age,avgST_rc,ec_avgST,flying,late,ss_starts,ss_first,ss_second,ss_third,ms_winRate,ms_top2Rate,ms_top3Rate,d_avgST_rc,d_age,d_class,rank_avgST,rank_age,rank_class,mean_avgST_rc,mean_age,mean_class,winK_逃げ,loseK_逃げ,winK_差し,loseK_差し,winK_まくり,loseK_まくり,winK_まくり差し,loseK_まくり差し,winK_抜き,loseK_抜き,winK_恵まれ,loseK_恵まれ,winK_total,loseK_total,rank,win,st,decision
20250815,14,11R,1,1,3,52,0.19,,0,0,,,,,,,,0.03,12,0,5,3,2,0.18,47.5,2.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.15,逃げ
20250815,14,11R,2,2,3,55,0.17,,0,0,,,,,,,,0.01,15,0,2,5,3,0.18,47.5,2.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.21,逃げ
20250815,14,11R,3,3,3,61,0.17,,0,0,,,,,,,,0.01,21,0,3,6,4,0.18,47.5,2.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.17,逃げ
20250815,14,11R,4,4,2,38,0.15,,0,0,,,,,,,,-0.01,-2,-1,1,2,1,0.18,47.5,2.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.13,逃げ
20250815,14,11R,5,5,3,25,0.18,,1,0,,,,,,,,0.0199999999999999,-15,0,4,1,5,0.18,47.5,2.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.24,逃げ
20250815,14,11R,6,6,3,54,0.22,,0,0,,,,,,,,0.06,14,0,6,4,6,0.18,47.5,2.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.23,逃げ
