date,pid,race,lane,startCourse,class,age,avgST_rc,ec_avgST,flying,late,ss_starts,ss_first,ss_second,ss_third,ms_winRate,ms_top2Rate,ms_top3Rate,win_k,lose_k,d_avgST_rc,d_age,d_class,rank_avgST,rank_age,rank_class,mean_avgST_rc,mean_age,mean_class,rank,win,st,decision
20250815,14,3R,1,1,3,31,0.14,,0,0,,,,,,,,0,0,-0.0199999999999999,-9,0,1,3,1,0.18,35.333333333333336,3.0,6,0,0.15,まくり
20250815,14,3R,2,2,3,54,0.22,,0,0,,,,,,,,0,0,0.06,14,0,6,6,2,0.18,35.333333333333336,3.0,5,0,0.13,まくり
20250815,14,3R,3,3,3,23,0.21,,0,0,,,,,,,,0,0,0.0499999999999999,-17,0,5,2,3,0.18,35.333333333333336,3.0,3,0,0.21,まくり
20250815,14,3R,4,4,3,45,0.17,,0,0,,,,,,,,0,0,0.01,5,0,3,5,4,0.18,35.333333333333336,3.0,1,1,0.02,まくり
20250815,14,3R,5,5,3,38,0.14,,0,0,,,,,,,,0,0,-0.0199999999999999,-2,0,2,4,5,0.18,35.333333333333336,3.0,2,0,0.08,まくり
20250815,14,3R,6,6,3,21,0.2,,0,0,,,,,,,,0,0,0.04,-19,0,4,1,6,0.18,35.333333333333336,3.0,4,0,0.09,まくり
