date,pid,race,lane,startCourse,class,age,avgST_rc,ec_avgST,flying,late,ss_starts,ss_first,ss_second,ss_third,ms_winRate,ms_top2Rate,ms_top3Rate,win_k,lose_k,d_avgST_rc,d_age,d_class,rank_avgST,rank_age,rank_class,mean_avgST_rc,mean_age,mean_class,rank,win,st,decision
20250812,11,1R,1,1,3,40,0.17,0.14,0,0,15.0,3.0,4.0,2.0,20.0,46.6,60.0,3,2,0.01,0,0,4,5,3,0.16,33.5,2.5,3,0,0.18,まくり差し
20250812,11,1R,2,2,3,36,0.15,0.16,0,0,19.0,3.0,5.0,2.0,15.7,42.1,52.6,3,1,-0.01,-4,0,2,3,4,0.16,33.5,2.5,5,0,0.18,まくり差し
20250812,11,1R,3,3,3,27,0.17,0.18,0,0,17.0,0.0,1.0,6.0,0.0,5.8,41.1,0,5,0.01,-13,0,5,2,5,0.16,33.5,2.5,1,1,0.15,まくり差し
20250812,11,1R,4,4,2,40,0.16,0.18,1,0,21.0,2.0,7.0,1.0,9.5,42.8,47.6,2,4,0.0,0,-1,3,6,2,0.16,33.5,2.5,2,0,0.17,まくり差し
20250812,11,1R,5,5,1,37,0.14,0.15,2,0,15.0,0.0,3.0,5.0,0.0,20.0,53.3,0,0,-0.0199999999999999,-3,-2,1,4,1,0.16,33.5,2.5,4,0,0.15,まくり差し
20250812,11,1R,6,6,3,21,0.17,0.15,1,0,27.0,0.0,3.0,6.0,0.0,11.1,33.3,0,8,0.01,-19,0,6,1,6,0.16,33.5,2.5,6,0,0.14,まくり差し
20250812,11,2R,1,1,3,23,0.17,0.14,0,0,13.0,4.0,2.0,2.0,30.7,46.1,61.5,4,1,0.01,-17,0,3,1,4,0.164,32.666666666666664,2.5,1,1,0.05,逃げ
20250812,11,2R,2,2,3,33,0.17,0.15,0,0,17.0,1.0,9.0,3.0,5.8,58.8,76.4,1,2,0.01,-7,0,4,4,5,0.164,32.666666666666664,2.5,4,0,0.16,逃げ
20250812,11,2R,3,3,2,53,0.18,0.15,1,0,21.0,3.0,6.0,3.0,14.2,42.8,57.1,3,1,0.0199999999999999,13,-1,5,6,2,0.164,32.666666666666664,2.5,5,0,0.11,逃げ
20250812,11,2R,4,4,1,34,0.16,0.15,0,0,23.0,3.0,4.0,5.0,13.0,30.4,52.1,3,2,0.0,-6,-2,2,5,1,0.164,32.666666666666664,2.5,2,0,0.12,逃げ
20250812,11,2R,5,5,2,30,0.14,0.15,1,0,17.0,4.0,2.0,4.0,23.5,35.2,58.8,4,1,-0.0199999999999999,-10,-1,1,3,3,0.164,32.666666666666664,2.5,3,0,0.12,逃げ
20250812,11,2R,6,6,4,23,,0.23,0,0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0.0,-17,1,6,2,6,0.164,32.666666666666664,2.5,6,0,0.13,逃げ
20250812,11,3R,1,1,3,43,0.18,0.18,0,0,14.0,3.0,5.0,1.0,21.4,57.1,64.2,3,4,0.0199999999999999,3,0,5,5,3,0.17,35.166666666666664,2.333333333333333,4,0,0.12,まくり差し
20250812,11,3R,2,2,1,41,0.16,0.15,0,0,20.0,2.0,5.0,7.0,10.0,35.0,70.0,2,5,0.0,1,-2,2,4,1,0.17,35.166666666666664,2.333333333333333,2,0,0.11,まくり差し
20250812,11,3R,3,3,3,22,0.21,0.18,0,0,20.0,1.0,4.0,8.0,5.0,25.0,65.0,1,1,0.0499999999999999,-18,0,6,1,4,0.17,35.166666666666664,2.333333333333333,1,1,0.09,まくり差し
20250812,11,3R,4,4,3,45,0.16,0.17,0,0,20.0,2.0,5.0,3.0,10.0,35.0,50.0,2,2,0.0,5,0,3,6,5,0.17,35.166666666666664,2.333333333333333,5,0,0.11,まくり差し
20250812,11,3R,5,5,3,28,0.17,0.17,0,0,16.0,2.0,1.0,0.0,12.5,18.7,18.7,2,3,0.01,-12,0,4,2,6,0.17,35.166666666666664,2.333333333333333,6,0,0.11,まくり差し
20250812,11,3R,6,6,1,32,0.14,0.16,0,0,22.0,1.0,4.0,2.0,4.5,22.7,31.8,1,5,-0.0199999999999999,-8,-2,1,3,2,0.17,35.166666666666664,2.333333333333333,3,0,0.13,まくり差し
20250812,11,4R,1,1,1,30,0.14,0.14,0,0,25.0,18.0,3.0,1.0,72.0,84.0,88.0,18,4,-0.0199999999999999,-10,-2,1,2,1,0.17,36.16666666666666,2.333333333333333,4.0,0.0,0.1,まくり差し
20250812,11,4R,2,2,3,34,0.18,0.17,0,0,20.0,0.0,4.0,5.0,0.0,20.0,45.0,0,6,0.0199999999999999,-6,0,4,3,4,0.17,36.16666666666666,2.333333333333333,5.0,0.0,0.17,まくり差し
20250812,11,4R,3,3,1,44,0.14,0.14,0,0,19.0,5.0,6.0,2.0,26.3,57.8,68.4,5,0,-0.0199999999999999,4,-2,2,5,2,0.17,36.16666666666666,2.333333333333333,2.0,0.0,0.11,まくり差し
20250812,11,4R,4,4,3,42,0.18,0.17,0,0,24.0,1.0,2.0,3.0,4.1,12.5,25.0,1,3,0.0199999999999999,2,0,5,4,5,0.17,36.16666666666666,2.333333333333333,1.0,1.0,0.04,まくり差し
20250812,11,4R,5,5,4,21,0.23,,1,0,,,,,,,,0,0,0.07,-19,1,6,1,6,0.17,36.16666666666666,2.333333333333333,3.0,0.0,0.09,まくり差し
20250812,11,4R,6,6,2,46,0.15,0.17,0,0,18.0,2.0,3.0,4.0,11.1,27.7,50.0,2,6,-0.01,6,-1,3,6,3,0.17,36.16666666666666,2.333333333333333,,,0.03,まくり差し
20250812,11,5R,1,1,2,49,0.15,0.15,0,0,16.0,9.0,4.0,1.0,56.2,81.2,87.5,9,4,-0.01,9,-1,2,6,2,0.1616666666666666,41.833333333333336,2.333333333333333,2,0,0.09,差し
20250812,11,5R,2,2,3,42,0.2,0.2,0,0,18.0,1.0,0.0,3.0,5.5,5.5,22.2,1,2,0.04,2,0,6,4,4,0.1616666666666666,41.833333333333336,2.333333333333333,1,1,0.09,差し
20250812,11,5R,3,3,3,36,0.15,0.14,0,0,16.0,2.0,4.0,4.0,12.5,37.5,62.5,2,1,-0.01,-4,0,3,1,5,0.1616666666666666,41.833333333333336,2.333333333333333,3,0,0.16,差し
20250812,11,5R,4,4,3,42,0.18,0.19,0,0,28.0,1.0,4.0,3.0,3.5,17.8,28.5,1,2,0.0199999999999999,2,0,5,5,6,0.1616666666666666,41.833333333333336,2.333333333333333,5,0,0.22,差し
20250812,11,5R,5,5,1,41,0.15,0.14,0,0,23.0,2.0,4.0,5.0,8.7,26.0,47.8,2,3,-0.01,1,-2,4,2,1,0.1616666666666666,41.833333333333336,2.333333333333333,6,0,0.39,差し
20250812,11,5R,6,6,2,41,0.14,0.12,0,0,23.0,0.0,1.0,7.0,0.0,4.3,34.7,0,4,-0.0199999999999999,1,-1,1,3,3,0.1616666666666666,41.833333333333336,2.333333333333333,4,0,0.16,差し
20250812,11,6R,1,1,1,35,0.13,0.14,1,0,21.0,12.0,4.0,2.0,57.1,76.1,85.7,12,4,-0.03,-5,-2,1,3,1,0.156,39.5,2.333333333333333,3.0,0.0,0.05,恵まれ
20250812,11,6R,2,2,3,52,0.17,0.16,0,0,20.0,1.0,3.0,3.0,5.0,20.0,35.0,1,4,0.01,12,0,4,6,4,0.156,39.5,2.333333333333333,4.0,0.0,0.06,恵まれ
20250812,11,6R,3,3,2,51,0.16,0.16,0,0,28.0,5.0,4.0,8.0,17.8,32.1,60.7,5,3,0.0,11,-1,3,5,3,0.156,39.5,2.333333333333333,,,0.03,恵まれ
20250812,11,6R,4,4,3,50,0.17,0.14,0,0,16.0,2.0,4.0,3.0,12.5,37.5,56.2,2,3,0.01,10,0,5,4,5,0.156,39.5,2.333333333333333,2.0,0.0,0.01,恵まれ
20250812,11,6R,5,5,1,26,0.15,0.12,0,0,23.0,7.0,5.0,4.0,30.4,52.1,69.5,7,3,-0.01,-14,-2,2,2,2,0.156,39.5,2.333333333333333,1.0,1.0,0.07,恵まれ
20250812,11,6R,6,6,4,23,,0.23,0,0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0.0,-17,1,6,1,6,0.156,39.5,2.333333333333333,5.0,0.0,0.08,恵まれ
20250812,11,7R,1,1,1,43,0.16,0.12,0,0,35.0,23.0,5.0,5.0,65.7,80.0,94.2,23,5,0.0,3,-2,2,5,1,0.1683333333333333,34.0,2.1666666666666665,1,1,0.08,逃げ
20250812,11,7R,2,2,2,45,0.15,0.16,0,0,19.0,2.0,5.0,3.0,10.5,36.8,52.6,2,2,-0.01,5,-1,1,6,3,0.1683333333333333,34.0,2.1666666666666665,4,0,0.09,逃げ
