date,pid,race,lane,startCourse,class,age,avgST_rc,ec_avgST,flying,late,ss_starts,ss_first,ss_second,ss_third,ms_winRate,ms_top2Rate,ms_top3Rate,d_avgST_rc,d_age,d_class,rank_avgST,rank_age,rank_class,mean_avgST_rc,mean_age,mean_class,winK_逃げ,loseK_逃げ,winK_差し,loseK_差し,winK_まくり,loseK_まくり,winK_まくり差し,loseK_まくり差し,winK_抜き,loseK_抜き,winK_恵まれ,loseK_恵まれ,winK_total,loseK_total,rank,win,st,decision
20250815,10,9R,1,1,3,51,0.19,0.16,0,0,14,6,4,1,42.8,71.4,78.5,0.03,11,0,6,5,4,0.1633333333333333,41.5,2.1666666666666665,6,0,0,3,0,1,0,3,0,1,0,0,6,8,2,0,0.11,抜き
20250815,10,9R,2,2,1,50,0.13,0.15,0,0,12,2,5,1,16.6,58.3,66.6,-0.03,10,-2,1,4,1,0.1633333333333333,41.5,2.1666666666666665,0,5,1,1,1,3,0,1,0,0,0,0,2,10,3,0,0.09,抜き
20250815,10,9R,3,3,1,39,0.16,0.15,0,0,20,3,6,2,15.0,45.0,55.0,0.0,-1,-2,3,3,2,0.1633333333333333,41.5,2.1666666666666665,0,12,0,3,2,2,1,0,0,0,0,0,3,17,1,1,0.14,抜き
20250815,10,9R,4,4,2,55,0.14,0.14,0,0,20,1,4,4,5.0,25.0,45.0,-0.0199999999999999,15,-1,2,6,3,0.1633333333333333,41.5,2.1666666666666665,0,13,1,1,0,2,0,2,0,1,0,0,1,19,4,0,0.11,抜き
20250815,10,9R,5,5,3,22,0.18,0.17,0,0,21,0,0,0,0.0,0.0,0.0,0.0199999999999999,-18,0,4,1,5,0.1633333333333333,41.5,2.1666666666666665,0,8,0,4,0,4,0,2,0,3,0,0,0,21,5,0,0.15,抜き
20250815,10,9R,6,6,3,32,0.18,0.19,0,0,16,0,0,0,0.0,0.0,0.0,0.0199999999999999,-8,0,5,2,6,0.1633333333333333,41.5,2.1666666666666665,0,5,0,1,0,6,0,2,0,2,0,0,0,16,6,0,0.23,抜き
