date,pid,race,lane,startCourse,class,age,avgST_rc,ec_avgST,flying,late,ss_starts,ss_first,ss_second,ss_third,ms_winRate,ms_top2Rate,ms_top3Rate,win_k,lose_k,d_avgST_rc,d_age,d_class,rank_avgST,rank_age,rank_class,mean_avgST_rc,mean_age,mean_class,rank,win,st,decision
20250813,23,2R,1,1,1,26,0.13,0.14,0,0,27.0,25.0,1.0,1.0,92.5,96.3,100.0,25,1,-0.03,-14,-2,1,2,1,0.166,35.333333333333336,2.6666666666666665,1,1,0.25,逃げ
20250813,23,2R,2,2,3,39,0.17,0.16,1,0,16.0,1.0,4.0,2.0,6.2,31.2,43.7,1,2,0.01,-1,0,3,5,3,0.166,35.333333333333336,2.6666666666666665,6,0,0.35,逃げ
20250813,23,2R,3,3,2,36,0.15,0.15,0,0,23.0,3.0,4.0,6.0,13.0,30.4,56.5,3,2,-0.01,-4,-1,2,4,2,0.166,35.333333333333336,2.6666666666666665,5,0,0.29,逃げ
20250813,23,2R,4,4,3,55,0.17,0.17,0,0,15.0,1.0,3.0,0.0,6.6,26.6,26.6,1,2,0.01,15,0,4,6,4,0.166,35.333333333333336,2.6666666666666665,2,0,0.19,逃げ
20250813,23,2R,5,5,4,23,,,1,0,,,,,,,,0,0,0.0,-17,1,6,1,6,0.166,35.333333333333336,2.6666666666666665,4,0,0.3,逃げ
20250813,23,2R,6,6,3,33,0.21,0.23,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0499999999999999,-7,0,5,3,5,0.166,35.333333333333336,2.6666666666666665,3,0,0.24,逃げ
