date,pid,race,lane,startCourse,class,age,avgST_rc,ec_avgST,flying,late,ss_starts,ss_first,ss_second,ss_third,ms_winRate,ms_top2Rate,ms_top3Rate,win_k,lose_k,d_avgST_rc,d_age,d_class,rank_avgST,rank_age,rank_class,mean_avgST_rc,mean_age,mean_class,rank,win,st,decision
20250814,23,8R,1,1,3,46,0.17,0.12,0,0,16.0,4.0,5.0,1.0,25.0,56.2,62.5,4,4,0.01,6,0,4,5,2,0.165,39.333333333333336,2.833333333333333,2,0,0.1,まくり
20250814,23,8R,2,2,3,35,0.16,0.14,0,0,12.0,3.0,2.0,3.0,25.0,41.6,66.6,3,2,0.0,-5,0,2,2,3,0.165,39.333333333333336,2.833333333333333,3,0,0.06,まくり
20250814,23,8R,3,3,3,56,0.18,0.18,0,0,20.0,2.0,2.0,5.0,10.0,20.0,45.0,2,4,0.0199999999999999,16,0,6,6,4,0.165,39.333333333333336,2.833333333333333,4,0,0.08,まくり
20250814,23,8R,4,4,3,24,0.16,0.19,1,0,10.0,0.0,0.0,1.0,0.0,0.0,10.0,0,0,0.0,-16,0,3,1,5,0.165,39.333333333333336,2.833333333333333,6,0,0.11,まくり
20250814,23,8R,5,5,2,36,0.15,0.16,0,0,21.0,1.0,7.0,1.0,4.7,38.1,42.8,1,5,-0.01,-4,-1,1,3,1,0.165,39.333333333333336,2.833333333333333,1,1,0.0,まくり
20250814,23,8R,6,6,3,39,0.17,0.18,1,0,20.0,0.0,2.0,2.0,0.0,10.0,20.0,0,4,0.01,-1,0,5,4,6,0.165,39.333333333333336,2.833333333333333,5,0,0.02,まくり
