date,pid,race,lane,startCourse,class,age,avgST_rc,ec_avgST,flying,late,ss_starts,ss_first,ss_second,ss_third,ms_winRate,ms_top2Rate,ms_top3Rate,d_avgST_rc,d_age,d_class,rank_avgST,rank_age,rank_class,mean_avgST_rc,mean_age,mean_class,winK_逃げ,loseK_逃げ,winK_差し,loseK_差し,winK_まくり,loseK_まくり,winK_まくり差し,loseK_まくり差し,winK_抜き,loseK_抜き,winK_恵まれ,loseK_恵まれ,winK_total,loseK_total,rank,win,st,decision
20250810,05,3R,1,1,3,59,0.2,0.18,0,0,13.0,3.0,2.0,5.0,23.0,38.4,76.9,0.04,19,0,5,5,3,0.1916666666666666,44.66666666666666,2.333333333333333,3,0,0,2,0,5,0,1,0,2,0,0,3,10,3,0,0.21,抜き
20250810,05,3R,2,2,3,43,0.26,0.28,0,0,19.0,1.0,1.0,5.0,5.2,10.5,36.8,0.1,3,0,6,4,4,0.1916666666666666,44.66666666666666,2.333333333333333,0,9,0,2,0,4,0,1,1,2,0,0,1,18,1,1,0.21,抜き
20250810,05,3R,3,3,1,42,0.14,0.11,1,0,17.0,4.0,3.0,3.0,23.5,41.1,58.8,-0.0199999999999999,2,-2,1,3,1,0.1916666666666666,44.66666666666666,2.333333333333333,0,8,1,2,3,2,0,0,0,1,0,0,4,13,2,0,0.13,抜き
20250810,05,3R,4,4,3,60,0.19,0.17,1,0,25.0,2.0,2.0,5.0,8.0,16.0,36.0,0.03,20,0,3,6,5,0.1916666666666666,44.66666666666666,2.333333333333333,0,12,1,1,0,5,1,3,0,2,0,0,2,23,5,0,0.17,抜き
20250810,05,3R,5,5,1,30,0.17,0.16,0,0,20.0,5.0,2.0,3.0,25.0,35.0,50.0,0.01,-10,-2,2,1,2,0.1916666666666666,44.66666666666666,2.333333333333333,0,6,0,1,0,5,3,1,1,1,1,1,5,15,4,0,0.15,抜き
20250810,05,3R,6,6,3,34,0.19,0.2,0,0,20.0,0.0,1.0,3.0,0.0,5.0,20.0,0.03,-6,0,4,2,6,0.1916666666666666,44.66666666666666,2.333333333333333,0,11,0,4,0,4,0,0,0,1,0,0,0,20,6,0,0.2,抜き
