date,pid,race,lane,startCourse,class,age,avgST_rc,ec_avgST,flying,late,ss_starts,ss_first,ss_second,ss_third,ms_winRate,ms_top2Rate,ms_top3Rate,d_avgST_rc,d_age,d_class,rank_avgST,rank_age,rank_class,mean_avgST_rc,mean_age,mean_class,winK_逃げ,loseK_逃げ,winK_差し,loseK_差し,winK_まくり,loseK_まくり,winK_まくり差し,loseK_まくり差し,winK_抜き,loseK_抜き,winK_恵まれ,loseK_恵まれ,winK_total,loseK_total,rank,win,st,decision
20250809,24,9R,1,1,2,57,0.16,0.15,0,0,27.0,14.0,4.0,4.0,51.8,66.6,81.4,0.0,17,-1,1,6,1,0.175,36.5,2.6666666666666665,14,0,0,3,0,6,0,2,0,2,0,0,14,13,3,0,0.21,抜き
20250809,24,9R,2,2,3,29,0.17,0.19,0,0,21.0,1.0,4.0,4.0,4.7,23.8,42.8,0.01,-11,0,2,3,3,0.175,36.5,2.6666666666666665,0,11,0,1,1,3,0,3,0,2,0,0,1,20,6,0,0.14,抜き
20250809,24,9R,3,3,3,31,0.19,0.16,0,0,18.0,0.0,3.0,5.0,0.0,16.6,44.4,0.03,-9,0,5,4,4,0.175,36.5,2.6666666666666665,0,12,0,2,0,0,0,2,0,1,0,1,0,18,2,0,0.14,抜き
20250809,24,9R,4,4,2,53,0.17,0.14,1,0,3.0,0.0,0.0,1.0,0.0,0.0,33.3,0.01,13,-1,3,5,2,0.175,36.5,2.6666666666666665,0,1,0,0,0,0,0,0,0,2,0,0,0,3,1,1,0.15,抜き
20250809,24,9R,5,5,3,26,0.19,0.18,0,0,21.0,1.0,0.0,6.0,4.7,4.7,33.3,0.03,-14,0,6,2,5,0.175,36.5,2.6666666666666665,0,12,0,1,0,0,1,4,0,3,0,0,1,20,5,0,0.13,抜き
20250809,24,9R,6,6,3,23,0.17,,0,0,,,,,,,,0.01,-17,0,4,1,6,0.175,36.5,2.6666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.09,抜き
