date,pid,race,lane,startCourse,class,age,avgST_rc,ec_avgST,flying,late,ss_starts,ss_first,ss_second,ss_third,ms_winRate,ms_top2Rate,ms_top3Rate,d_avgST_rc,d_age,d_class,rank_avgST,rank_age,rank_class,mean_avgST_rc,mean_age,mean_class,winK_逃げ,loseK_逃げ,winK_差し,loseK_差し,winK_まくり,loseK_まくり,winK_まくり差し,loseK_まくり差し,winK_抜き,loseK_抜き,winK_恵まれ,loseK_恵まれ,winK_total,loseK_total,rank,win,st,decision
20250809,06,9R,1,1,2,40,0.16,0.17,1,0,22,9,6,2,40.9,68.1,77.2,0.0,0,-1,4,4,4,0.1566666666666666,40.16666666666666,1.6666666666666667,9,0,0,5,0,5,0,1,0,2,0,0,9,13,1,1,0.11,逃げ
20250809,06,9R,2,2,1,36,0.15,0.15,0,0,21,9,6,4,42.8,71.4,90.4,-0.01,-4,-2,2,2,1,0.1566666666666666,40.16666666666666,1.6666666666666667,0,6,6,0,2,3,0,1,1,2,0,0,9,12,3,0,0.09,逃げ
20250809,06,9R,3,3,2,48,0.19,0.19,1,0,23,5,4,3,21.7,39.1,52.1,0.03,8,-1,6,5,5,0.1566666666666666,40.16666666666666,1.6666666666666667,0,9,1,2,2,4,2,2,0,0,0,1,5,18,5,0,0.18,逃げ
20250809,06,9R,4,4,1,29,0.15,0.17,0,0,18,5,4,2,27.7,50.0,61.1,-0.01,-11,-2,3,1,2,0.1566666666666666,40.16666666666666,1.6666666666666667,0,9,2,3,1,1,1,0,1,0,0,0,5,13,4,0,0.09,逃げ
20250809,06,9R,5,5,3,52,0.13,0.12,0,0,10,0,2,1,0.0,20.0,30.0,-0.03,12,0,1,6,6,0.1566666666666666,40.16666666666666,1.6666666666666667,0,6,0,1,0,2,0,1,0,0,0,0,0,10,6,0,0.09,逃げ
20250809,06,9R,6,6,1,36,0.16,0.19,0,0,16,2,5,3,12.5,43.7,62.5,0.0,-4,-2,5,3,3,0.1566666666666666,40.16666666666666,1.6666666666666667,0,9,0,0,2,2,0,2,0,1,0,0,2,14,2,0,0.12,逃げ
