date,pid,race,lane,startCourse,class,age,avgST_rc,ec_avgST,flying,late,ss_starts,ss_first,ss_second,ss_third,ms_winRate,ms_top2Rate,ms_top3Rate,d_avgST_rc,d_age,d_class,rank_avgST,rank_age,rank_class,mean_avgST_rc,mean_age,mean_class,winK_逃げ,loseK_逃げ,winK_差し,loseK_差し,winK_まくり,loseK_まくり,winK_まくり差し,loseK_まくり差し,winK_抜き,loseK_抜き,winK_恵まれ,loseK_恵まれ,winK_total,loseK_total,rank,win,st,decision
20250812,23,9R,1,1,3,39,0.17,0.12,1,0,18.0,5.0,1.0,4.0,27.7,33.3,55.5,0.01,-1,0,3,3,3,0.17,42.333333333333336,2.5,5,0,0,0,0,5,0,5,0,1,0,2,5,13,1,1,0.18,逃げ
20250812,23,9R,2,2,1,37,0.12,0.15,0,0,19.0,5.0,6.0,4.0,26.3,57.8,78.9,-0.04,-3,-2,1,2,1,0.17,42.333333333333336,2.5,0,8,1,0,2,3,0,1,2,2,0,0,5,14,2,0,0.15,逃げ
20250812,23,9R,3,3,3,48,0.16,0.15,0,0,18.0,2.0,3.0,1.0,11.1,27.7,33.3,0.0,8,0,2,5,4,0.17,42.333333333333336,2.5,0,11,0,1,1,3,1,1,0,0,0,0,2,16,3,0,0.11,逃げ
20250812,23,9R,4,4,2,31,0.2,0.19,0,0,22.0,2.0,4.0,5.0,9.0,27.2,50.0,0.04,-9,-1,6,1,2,0.17,42.333333333333336,2.5,0,15,0,0,1,0,0,3,1,2,0,0,2,20,4,0,0.17,逃げ
20250812,23,9R,5,5,3,56,0.18,0.17,0,0,21.0,1.0,5.0,1.0,4.7,28.5,33.3,0.0199999999999999,16,0,4,6,5,0.17,42.333333333333336,2.5,0,16,0,1,1,1,0,1,0,1,0,0,1,20,5,0,0.16,逃げ
20250812,23,9R,6,6,3,43,0.19,0.18,0,0,16.0,0.0,1.0,2.0,0.0,6.2,18.7,0.03,3,0,5,4,6,0.17,42.333333333333336,2.5,0,9,0,1,0,3,0,2,0,1,0,0,0,16,6,0,0.18,逃げ
