date,pid,race,lane,startCourse,class,age,avgST_rc,ec_avgST,flying,late,ss_starts,ss_first,ss_second,ss_third,ms_winRate,ms_top2Rate,ms_top3Rate,win_k,lose_k,d_avgST_rc,d_age,d_class,rank_avgST,rank_age,rank_class,mean_avgST_rc,mean_age,mean_class,rank,win,st,decision
20250815,18,5R,1,1,1,24,0.16,0.14,0,0,31.0,21.0,5.0,1.0,67.7,83.8,87.1,21,5,0.0,-16,-2,2,1,1,0.1633333333333333,36.333333333333336,2.333333333333333,1,1,0.22,逃げ
20250815,18,5R,2,2,3,30,0.13,0.14,0,0,19.0,2.0,3.0,5.0,10.5,26.3,52.6,2,6,-0.03,-10,0,1,3,4,0.1633333333333333,36.333333333333336,2.333333333333333,3,0,0.16,逃げ
20250815,18,5R,3,3,3,37,0.18,0.16,1,0,10.0,1.0,1.0,2.0,10.0,20.0,40.0,1,3,0.0199999999999999,-3,0,5,4,5,0.1633333333333333,36.333333333333336,2.333333333333333,6,0,0.18,逃げ
20250815,18,5R,4,4,3,24,0.18,0.15,1,0,24.0,3.0,3.0,6.0,12.5,25.0,50.0,3,0,0.0199999999999999,-16,0,6,2,6,0.1633333333333333,36.333333333333336,2.333333333333333,4,0,0.11,逃げ
20250815,18,5R,5,5,2,51,0.16,0.16,0,0,18.0,1.0,4.0,4.0,5.5,27.7,50.0,1,4,0.0,11,-1,3,5,2,0.1633333333333333,36.333333333333336,2.333333333333333,2,0,0.2,逃げ
20250815,18,5R,6,6,2,52,0.17,0.23,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.01,12,-1,4,6,3,0.1633333333333333,36.333333333333336,2.333333333333333,5,0,0.18,逃げ
