date,pid,race,lane,startCourse,class,age,avgST_rc,ec_avgST,flying,late,ss_starts,ss_first,ss_second,ss_third,ms_winRate,ms_top2Rate,ms_top3Rate,win_k,lose_k,d_avgST_rc,d_age,d_class,rank_avgST,rank_age,rank_class,mean_avgST_rc,mean_age,mean_class,rank,win,st,decision
20250817,10,2R,1,1,2,24,0.18,0.17,0,0,20,10,4,2,50.0,70.0,80.0,10,4,0.0199999999999999,-16,-1,6,1,2,0.1666666666666666,34.833333333333336,2.333333333333333,1,1,0.19,抜き
20250817,10,2R,2,2,3,30,0.17,0.18,0,0,19,1,3,4,5.2,21.0,42.1,1,3,0.01,-10,0,3,3,4,0.1666666666666666,34.833333333333336,2.333333333333333,4,0,0.17,抜き
20250817,10,2R,3,3,2,34,0.16,0.14,0,0,17,3,4,5,17.6,41.1,70.5,3,2,0.0,-6,-1,2,4,3,0.1666666666666666,34.833333333333336,2.333333333333333,5,0,0.12,抜き
20250817,10,2R,4,4,1,45,0.15,0.14,0,0,24,6,3,6,25.0,37.5,62.5,6,5,-0.01,5,-2,1,5,1,0.1666666666666666,34.833333333333336,2.333333333333333,3,0,0.19,抜き
20250817,10,2R,5,5,3,49,0.17,0.16,0,0,16,0,0,5,0.0,0.0,31.2,0,1,0.01,9,0,4,6,5,0.1666666666666666,34.833333333333336,2.333333333333333,6,0,0.14,抜き
20250817,10,2R,6,6,3,27,0.17,0.14,0,0,15,0,0,2,0.0,0.0,13.3,0,3,0.01,-13,0,5,2,6,0.1666666666666666,34.833333333333336,2.333333333333333,2,0,0.17,抜き
