date,pid,race,lane,startCourse,class,age,avgST_rc,ec_avgST,flying,late,ss_starts,ss_first,ss_second,ss_third,ms_winRate,ms_top2Rate,ms_top3Rate,d_avgST_rc,d_age,d_class,rank_avgST,rank_age,rank_class,mean_avgST_rc,mean_age,mean_class,winK_逃げ,loseK_逃げ,winK_差し,loseK_差し,winK_まくり,loseK_まくり,winK_まくり差し,loseK_まくり差し,winK_抜き,loseK_抜き,winK_恵まれ,loseK_恵まれ,winK_total,loseK_total,rank,win,st,decision
20250811,19,8R,1,1,3,52,0.18,0.13,0,0,16.0,10.0,3.0,0.0,62.5,81.2,81.2,0.0199999999999999,12,0,3,5,2,0.1816666666666666,39.833333333333336,2.6666666666666665,10,0,0,2,0,2,0,2,0,0,0,0,10,6,1,1,0.09,逃げ
20250811,19,8R,2,2,3,47,0.21,0.2,0,0,15.0,2.0,2.0,1.0,13.3,26.6,33.3,0.0499999999999999,7,0,6,4,3,0.1816666666666666,39.833333333333336,2.6666666666666665,0,3,1,0,0,4,0,6,1,0,0,0,2,13,5,0,0.17,逃げ
20250811,19,8R,3,3,3,53,0.19,0.15,0,0,10.0,1.0,0.0,1.0,10.0,10.0,20.0,0.03,13,0,4,6,4,0.1816666666666666,39.833333333333336,2.6666666666666665,0,4,0,0,1,3,0,0,0,2,0,0,1,9,4,0,0.11,逃げ
20250811,19,8R,4,4,1,37,0.15,0.13,1,0,18.0,2.0,4.0,6.0,11.1,33.3,66.6,-0.01,-3,-2,1,3,1,0.1816666666666666,39.833333333333336,2.6666666666666665,0,10,0,1,2,2,0,1,0,2,0,0,2,16,2,0,0.11,逃げ
20250811,19,8R,5,5,3,32,0.19,0.18,0,0,28.0,2.0,5.0,4.0,7.1,25.0,39.2,0.03,-8,0,5,2,5,0.1816666666666666,39.833333333333336,2.6666666666666665,0,14,0,2,0,4,2,2,0,4,0,0,2,26,3,0,0.13,逃げ
20250811,19,8R,6,6,3,18,0.17,0.15,1,0,58.0,0.0,1.0,9.0,0.0,1.7,17.2,0.01,-22,0,2,1,6,0.1816666666666666,39.833333333333336,2.6666666666666665,0,24,0,6,0,9,0,13,0,6,0,0,0,58,6,0,0.11,逃げ
