date,pid,place_name,race,cutoff_hm,off_hm,series,notes
20250815,01,桐生,1R,15:19,15:22,,
20250815,01,桐生,2R,15:44,15:47,,
20250815,01,桐生,3R,16:11,16:14,,
20250815,01,桐生,4R,16:41,16:44,,
20250815,01,桐生,5R,17:06,17:09,,
20250815,01,桐生,6R,17:31,17:34,,
20250815,01,桐生,7R,17:58,18:01,,
20250815,01,桐生,8R,18:27,18:30,,
20250815,01,桐生,9R,18:57,19:00,,
20250815,01,桐生,10R,19:35,19:38,,
20250815,01,桐生,11R,20:08,20:11,,
20250815,01,桐生,12R,20:36,20:39,,
20250815,02,戸田,1R,10:47,10:50,,
20250815,02,戸田,2R,11:16,11:19,,
20250815,02,戸田,3R,11:45,11:48,,
20250815,02,戸田,4R,12:14,12:17,,
20250815,02,戸田,5R,12:44,12:47,,
20250815,02,戸田,6R,13:14,13:17,,
20250815,02,戸田,7R,13:45,13:48,,
20250815,02,戸田,8R,14:16,14:19,,
20250815,02,戸田,9R,14:48,14:51,,
20250815,02,戸田,10R,15:21,15:24,,
20250815,02,戸田,11R,15:55,15:58,,
20250815,02,戸田,12R,16:30,16:33,,
20250815,05,多摩川,1R,12:01,12:04,,
20250815,05,多摩川,2R,12:27,12:30,,
20250815,05,多摩川,3R,12:56,12:59,,
20250815,05,多摩川,4R,13:28,13:31,,
20250815,05,多摩川,5R,14:00,14:03,,
20250815,05,多摩川,6R,14:38,14:41,,
20250815,05,多摩川,7R,15:10,15:13,,
20250815,05,多摩川,8R,15:40,15:43,,
20250815,05,多摩川,9R,16:11,16:14,,
20250815,05,多摩川,10R,16:45,16:48,,
20250815,05,多摩川,11R,17:18,17:21,,
20250815,05,多摩川,12R,17:53,17:56,,
20250815,06,浜名湖,1R,11:24,11:27,,
20250815,06,浜名湖,2R,11:50,11:53,,
20250815,06,浜名湖,3R,12:20,12:23,,
20250815,06,浜名湖,4R,12:52,12:55,,
20250815,06,浜名湖,5R,13:23,13:26,,
20250815,06,浜名湖,6R,13:54,13:57,,
20250815,06,浜名湖,7R,14:23,14:26,,
20250815,06,浜名湖,8R,14:57,15:00,,
20250815,06,浜名湖,9R,15:27,15:30,,
20250815,06,浜名湖,10R,15:58,16:01,,
20250815,06,浜名湖,11R,16:26,16:29,,
20250815,06,浜名湖,12R,17:09,17:12,,
20250815,08,常滑,1R,10:25,10:28,,
20250815,08,常滑,2R,10:52,10:55,,
20250815,08,常滑,3R,11:19,11:22,,
20250815,08,常滑,4R,11:49,11:52,,
20250815,08,常滑,5R,12:18,12:21,,
20250815,08,常滑,6R,12:47,12:50,,
20250815,08,常滑,7R,13:18,13:21,,
20250815,08,常滑,8R,13:48,13:51,,
20250815,08,常滑,9R,14:15,14:18,,
20250815,08,常滑,10R,14:52,14:55,,
20250815,08,常滑,11R,15:29,15:32,,
20250815,08,常滑,12R,16:14,16:17,,
20250815,09,津,1R,10:29,10:32,,
20250815,09,津,2R,10:57,11:00,,
20250815,09,津,3R,11:25,11:28,,
20250815,09,津,4R,11:55,11:58,,
20250815,09,津,5R,12:26,12:29,,
20250815,09,津,6R,12:56,12:59,,
20250815,09,津,7R,13:28,13:31,,
20250815,09,津,8R,13:59,14:02,,
20250815,09,津,9R,14:32,14:35,,
20250815,09,津,10R,15:08,15:11,,
20250815,09,津,11R,15:41,15:44,,
20250815,09,津,12R,16:15,16:18,,
20250815,10,三国,1R,08:38,08:41,,
20250815,10,三国,2R,09:04,09:07,,
20250815,10,三国,3R,09:30,09:33,,
20250815,10,三国,4R,09:56,09:59,,
20250815,10,三国,5R,10:22,10:25,,
20250815,10,三国,6R,10:53,10:56,,
20250815,10,三国,7R,11:23,11:26,,
20250815,10,三国,8R,11:54,11:57,,
20250815,10,三国,9R,12:26,12:29,,
20250815,10,三国,10R,12:59,13:02,,
20250815,10,三国,11R,13:34,13:37,,
20250815,10,三国,12R,14:12,14:15,,
20250815,11,びわこ,1R,10:36,10:39,,
20250815,11,びわこ,2R,11:04,11:07,,
20250815,11,びわこ,3R,11:30,11:33,,
20250815,11,びわこ,4R,11:58,12:01,,
20250815,11,びわこ,5R,12:30,12:33,,
20250815,11,びわこ,6R,13:05,13:08,,
20250815,11,びわこ,7R,13:38,13:41,,
20250815,11,びわこ,8R,14:10,14:13,,
20250815,11,びわこ,9R,14:45,14:48,,
20250815,11,びわこ,10R,15:25,15:28,,
20250815,11,びわこ,11R,16:00,16:03,,
20250815,11,びわこ,12R,16:37,16:40,,
20250815,12,住之江,1R,15:19,15:22,,
20250815,12,住之江,2R,15:46,15:49,,
20250815,12,住之江,3R,16:18,16:21,,
20250815,12,住之江,4R,16:50,16:53,,
20250815,12,住之江,5R,17:19,17:22,,
20250815,12,住之江,6R,17:47,17:50,,
20250815,12,住之江,7R,18:16,18:19,,
20250815,12,住之江,8R,18:46,18:49,,
20250815,12,住之江,9R,19:16,19:19,,
20250815,12,住之江,10R,19:47,19:50,,
20250815,12,住之江,11R,20:18,20:21,,
20250815,12,住之江,12R,20:45,20:48,,
20250815,14,鳴門,1R,08:50,08:53,,
20250815,14,鳴門,2R,09:16,09:19,,
20250815,14,鳴門,3R,09:42,09:45,,
20250815,14,鳴門,4R,10:08,10:11,,
20250815,14,鳴門,5R,10:38,10:41,,
20250815,14,鳴門,6R,11:07,11:10,,
20250815,14,鳴門,7R,11:37,11:40,,
20250815,14,鳴門,8R,12:08,12:11,,
20250815,14,鳴門,9R,12:41,12:44,,
20250815,14,鳴門,10R,13:15,13:18,,
20250815,14,鳴門,11R,13:50,13:53,,
20250815,14,鳴門,12R,14:27,14:30,,
20250815,17,宮島,1R,10:45,10:48,,
20250815,17,宮島,2R,11:15,11:18,,
20250815,17,宮島,3R,11:44,11:47,,
20250815,17,宮島,4R,12:13,12:16,,
20250815,17,宮島,5R,12:51,12:54,,
20250815,17,宮島,6R,13:27,13:30,,
20250815,17,宮島,7R,13:53,13:56,,
20250815,17,宮島,8R,14:31,14:34,,
20250815,17,宮島,9R,15:06,15:09,,
20250815,17,宮島,10R,15:38,15:41,,
20250815,17,宮島,11R,16:10,16:13,,
20250815,17,宮島,12R,16:49,16:52,,
20250815,18,徳山,1R,08:44,08:47,,
20250815,18,徳山,2R,09:10,09:13,,
20250815,18,徳山,3R,09:36,09:39,,
20250815,18,徳山,4R,10:02,10:05,,
20250815,18,徳山,5R,10:31,10:34,,
20250815,18,徳山,6R,11:00,11:03,,
20250815,18,徳山,7R,11:30,11:33,,
20250815,18,徳山,8R,12:04,12:07,,
20250815,18,徳山,9R,12:37,12:40,,
20250815,18,徳山,10R,13:10,13:13,,
20250815,18,徳山,11R,13:43,13:46,,
20250815,18,徳山,12R,14:20,14:23,,
20250815,19,下関,1R,15:17,15:20,,
20250815,19,下関,2R,15:42,15:45,,
20250815,19,下関,3R,16:05,16:08,,
20250815,19,下関,4R,16:33,16:36,,
20250815,19,下関,5R,17:01,17:04,,
20250815,19,下関,6R,17:26,17:29,,
20250815,19,下関,7R,17:52,17:55,,
20250815,19,下関,8R,18:22,18:25,,
20250815,19,下関,9R,18:52,18:55,,
20250815,19,下関,10R,19:25,19:28,,
20250815,19,下関,11R,20:03,20:06,,
20250815,19,下関,12R,20:31,20:34,,
20250815,20,若松,1R,15:23,15:26,,
20250815,20,若松,2R,15:49,15:52,,
