date,pid,place_name,race,cutoff_hm,off_hm,series,notes
20250826,01,桐生,1R,15:16,15:19,,
20250826,01,桐生,2R,15:39,15:42,,
20250826,01,桐生,3R,16:06,16:09,,
20250826,01,桐生,4R,16:29,16:32,,
20250826,01,桐生,5R,16:52,16:55,,
20250826,01,桐生,6R,17:18,17:21,,
20250826,01,桐生,7R,17:44,17:47,,
20250826,01,桐生,8R,18:11,18:14,,
20250826,01,桐生,9R,18:42,18:45,,
20250826,01,桐生,10R,19:13,19:16,,
20250826,01,桐生,11R,19:47,19:50,,
20250826,01,桐生,12R,20:30,20:33,,
20250826,04,平和島,1R,11:53,11:56,,
20250826,04,平和島,2R,12:22,12:25,,
20250826,04,平和島,3R,12:52,12:55,,
20250826,04,平和島,4R,13:22,13:25,,
20250826,04,平和島,5R,13:53,13:56,,
20250826,04,平和島,6R,14:24,14:27,,
20250826,04,平和島,7R,14:56,14:59,,
20250826,04,平和島,8R,15:29,15:32,,
20250826,04,平和島,9R,16:03,16:06,,
20250826,04,平和島,10R,16:35,16:38,,
20250826,04,平和島,11R,17:06,17:09,,
20250826,04,平和島,12R,17:37,17:40,,
20250826,06,浜名湖,1R,11:32,11:35,,
20250826,06,浜名湖,2R,11:59,12:02,,
20250826,06,浜名湖,3R,12:38,12:41,,
20250826,06,浜名湖,4R,13:11,13:14,,
20250826,06,浜名湖,5R,13:37,13:40,,
20250826,06,浜名湖,6R,14:04,14:07,,
20250826,06,浜名湖,7R,14:35,14:38,,
20250826,06,浜名湖,8R,15:07,15:10,,
20250826,06,浜名湖,9R,15:35,15:38,,
20250826,06,浜名湖,10R,16:11,16:14,,
20250826,06,浜名湖,11R,16:40,16:43,,
20250826,06,浜名湖,12R,17:10,17:13,,
20250826,09,津,1R,10:30,10:33,,
20250826,09,津,2R,10:58,11:01,,
20250826,09,津,3R,11:27,11:30,,
20250826,09,津,4R,11:57,12:00,,
20250826,09,津,5R,12:26,12:29,,
20250826,09,津,6R,12:56,12:59,,
20250826,09,津,7R,13:26,13:29,,
20250826,09,津,8R,13:55,13:58,,
20250826,09,津,9R,14:29,14:32,,
20250826,09,津,10R,15:03,15:06,,
20250826,09,津,11R,15:38,15:41,,
20250826,09,津,12R,16:15,16:18,,
20250826,10,三国,1R,08:40,08:43,,
20250826,10,三国,2R,09:06,09:09,,
20250826,10,三国,3R,09:32,09:35,,
