date,pid,race,lane,startCourse,class,age,avgST_rc,ec_avgST,flying,late,ss_starts,ss_first,ss_second,ss_third,ms_winRate,ms_top2Rate,ms_top3Rate,d_avgST_rc,d_age,d_class,rank_avgST,rank_age,rank_class,mean_avgST_rc,mean_age,mean_class,winK_逃げ,loseK_逃げ,winK_差し,loseK_差し,winK_まくり,loseK_まくり,winK_まくり差し,loseK_まくり差し,winK_抜き,loseK_抜き,winK_恵まれ,loseK_恵まれ,winK_total,loseK_total,rank,win,st,decision
20250816,01,1R,1,1,3,49,0.17,0.17,0,0,16.0,8.0,1.0,3.0,50.0,56.2,75.0,0.01,9,0,3,5,2,0.17,33.166666666666664,3.333333333333333,7,0,0,2,0,4,0,1,1,1,0,0,8,8,1,1,0.25,逃げ
20250816,01,1R,2,2,2,55,0.18,0.16,1,0,14.0,2.0,4.0,1.0,14.2,42.8,50.0,0.0199999999999999,15,-1,4,6,1,0.17,33.166666666666664,3.333333333333333,0,9,1,0,1,3,0,0,0,0,0,1,2,13,2,0,0.27,逃げ
20250816,01,1R,3,3,4,24,0.18,0.2,0,0,11.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0199999999999999,-16,1,5,3,4,0.17,33.166666666666664,3.333333333333333,0,7,0,0,0,2,0,1,0,1,0,0,0,11,6,0,0.3,逃げ
20250816,01,1R,4,4,3,28,0.16,0.14,0,0,20.0,4.0,1.0,2.0,20.0,25.0,35.0,0.0,-12,0,1,4,3,0.17,33.166666666666664,3.333333333333333,0,6,0,3,3,2,1,3,0,2,0,0,4,16,3,0,0.26,逃げ
20250816,01,1R,5,5,4,21,0.16,,0,0,,,,,,,,0.0,-19,1,2,1,5,0.17,33.166666666666664,3.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.34,逃げ
20250816,01,1R,6,6,4,22,,0.17,1,0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18,1,6,2,6,0.17,33.166666666666664,3.333333333333333,0,18,0,6,0,8,0,5,0,1,0,0,0,38,4,0,0.41,逃げ
