date,pid,race,lane,startCourse,class,age,avgST_rc,ec_avgST,flying,late,ss_starts,ss_first,ss_second,ss_third,ms_winRate,ms_top2Rate,ms_top3Rate,d_avgST_rc,d_age,d_class,rank_avgST,rank_age,rank_class,mean_avgST_rc,mean_age,mean_class,winK_逃げ,loseK_逃げ,winK_差し,loseK_差し,winK_まくり,loseK_まくり,winK_まくり差し,loseK_まくり差し,winK_抜き,loseK_抜き,winK_恵まれ,loseK_恵まれ,winK_total,loseK_total,rank,win,st,decision
20250815,20,1R,1,1,3,22,0.17,0.2,0,0,14,5,1,4,35.7,42.8,71.4,0.01,-18,0,2,1,3,0.1799999999999999,28.33333333333333,2.833333333333333,5,0,0,2,0,7,0,0,0,0,0,0,5,9,1,1,0.11,逃げ
20250815,20,1R,2,2,3,38,0.16,0.16,0,0,17,2,5,4,11.7,41.1,64.7,0.0,-2,0,1,6,4,0.1799999999999999,28.33333333333333,2.833333333333333,0,11,1,0,0,3,0,1,1,0,0,0,2,15,4,0,0.17,逃げ
20250815,20,1R,3,3,3,31,0.18,0.21,1,0,14,3,2,3,21.4,35.7,57.1,0.0199999999999999,-9,0,4,5,5,0.1799999999999999,28.33333333333333,2.833333333333333,0,5,0,0,0,4,2,2,1,0,0,0,3,11,2,0,0.26,逃げ
20250815,20,1R,4,4,4,26,0.19,0.21,0,0,5,0,0,0,0.0,0.0,0.0,0.03,-14,1,5,2,6,0.1799999999999999,28.33333333333333,2.833333333333333,0,1,0,1,0,1,0,1,0,1,0,0,0,5,6,0,0.23,逃げ
20250815,20,1R,5,5,2,27,0.21,0.22,0,0,15,0,0,6,0.0,0.0,40.0,0.0499999999999999,-13,-1,6,4,1,0.1799999999999999,28.33333333333333,2.833333333333333,0,9,0,2,0,2,0,1,0,1,0,0,0,15,5,0,0.31,逃げ
20250815,20,1R,6,6,2,26,0.17,0.15,1,0,12,1,1,0,8.3,16.6,16.6,0.01,-14,-1,3,3,2,0.1799999999999999,28.33333333333333,2.833333333333333,0,4,0,1,0,2,0,1,0,3,1,0,1,11,3,0,0.22,逃げ
