date,pid,race,lane,startCourse,class,age,avgST_rc,ec_avgST,flying,late,ss_starts,ss_first,ss_second,ss_third,ms_winRate,ms_top2Rate,ms_top3Rate,win_k,lose_k,d_avgST_rc,d_age,d_class,rank_avgST,rank_age,rank_class,mean_avgST_rc,mean_age,mean_class,rank,win,st,decision
20250809,02,2R,1,1,3,34,0.12,0.18,2,0,17,5,4,4,29.4,52.9,76.4,5,4,-0.04,-6,0,1,2,3,0.1616666666666666,41.0,2.6666666666666665,6,0,0.26,差し
20250809,02,2R,2,2,3,27,0.15,0.13,1,0,20,2,4,5,10.0,30.0,55.0,2,1,-0.01,-13,0,3,1,4,0.1616666666666666,41.0,2.6666666666666665,5,0,0.22,差し
20250809,02,2R,3,3,3,47,0.17,0.16,0,0,20,0,5,4,0.0,25.0,45.0,0,3,0.01,7,0,4,5,5,0.1616666666666666,41.0,2.6666666666666665,2,0,0.23,差し
20250809,02,2R,4,4,4,55,0.22,0.22,0,0,23,3,3,7,13.0,26.0,56.5,3,3,0.06,15,1,6,6,6,0.1616666666666666,41.0,2.6666666666666665,1,1,0.19,差し
20250809,02,2R,5,5,1,45,0.17,0.18,0,0,17,3,4,2,17.6,41.1,52.9,3,1,0.01,5,-2,5,4,1,0.1616666666666666,41.0,2.6666666666666665,3,0,0.18,差し
20250809,02,2R,6,6,2,38,0.14,0.18,0,0,18,0,1,5,0.0,5.5,33.3,0,2,-0.0199999999999999,-2,-1,2,3,2,0.1616666666666666,41.0,2.6666666666666665,4,0,0.19,差し
