date,pid,race,lane,startCourse,class,age,avgST_rc,ec_avgST,flying,late,ss_starts,ss_first,ss_second,ss_third,ms_winRate,ms_top2Rate,ms_top3Rate,d_avgST_rc,d_age,d_class,rank_avgST,rank_age,rank_class,mean_avgST_rc,mean_age,mean_class,winK_逃げ,loseK_逃げ,winK_差し,loseK_差し,winK_まくり,loseK_まくり,winK_まくり差し,loseK_まくり差し,winK_抜き,loseK_抜き,winK_恵まれ,loseK_恵まれ,winK_total,loseK_total,rank,win,st,decision
20250814,05,2R,1,1,3,41,0.16,0.13,0,0,14,10,1,1,71.4,78.5,85.7,0.0,1,0,2,2,3,0.175,48.16666666666666,2.6666666666666665,10,0,0,1,0,3,0,0,0,0,0,0,10,4,1,1,0.12,逃げ
20250814,05,2R,2,2,2,57,0.14,0.16,0,0,29,3,8,2,10.3,37.9,44.8,-0.0199999999999999,17,-1,1,4,1,0.175,48.16666666666666,2.6666666666666665,0,20,2,0,1,3,0,3,0,0,0,0,3,26,5,0,0.14,逃げ
20250814,05,2R,3,3,3,42,0.2,0.2,0,0,19,1,10,3,5.2,57.8,73.6,0.04,2,0,5,3,4,0.175,48.16666666666666,2.6666666666666665,0,6,0,5,0,7,1,0,0,0,0,0,1,18,2,0,0.17,逃げ
20250814,05,2R,4,4,2,30,0.16,0.14,0,0,24,2,6,8,8.3,33.3,66.6,0.0,-10,-1,3,1,2,0.175,48.16666666666666,2.6666666666666665,0,11,0,3,1,2,1,4,0,2,0,0,2,22,3,0,0.14,逃げ
20250814,05,2R,5,5,3,59,0.2,0.19,0,0,23,0,2,4,0.0,8.7,26.0,0.04,19,0,6,5,5,0.175,48.16666666666666,2.6666666666666665,0,13,0,3,0,5,0,2,0,0,0,0,0,23,6,0,0.17,逃げ
20250814,05,2R,6,6,3,60,0.19,0.2,1,0,21,0,0,1,0.0,0.0,4.7,0.03,20,0,4,6,6,0.175,48.16666666666666,2.6666666666666665,0,8,0,4,0,3,0,5,0,1,0,0,0,21,4,0,0.19,逃げ
