date,pid,race,lane,startCourse,class,age,avgST_rc,ec_avgST,flying,late,ss_starts,ss_first,ss_second,ss_third,ms_winRate,ms_top2Rate,ms_top3Rate,win_k,lose_k,d_avgST_rc,d_age,d_class,rank_avgST,rank_age,rank_class,mean_avgST_rc,mean_age,mean_class,rank,win,st,decision
20250809,09,6R,1,1,3,39,0.2,0.16,0,0,12.0,6.0,1.0,2.0,50.0,58.3,75.0,6,3,0.04,-1,0,3,6,1,0.202,30.33333333333333,3.5,1,1,0.07,逃げ
20250809,09,6R,2,2,3,28,0.17,0.19,1,0,18.0,1.0,6.0,1.0,5.5,38.8,44.4,1,3,0.01,-12,0,1,3,2,0.202,30.33333333333333,3.5,4,0,0.09,逃げ
20250809,09,6R,3,3,3,37,0.19,0.21,0,0,15.0,1.0,4.0,4.0,6.6,33.3,60.0,1,2,0.03,-3,0,2,4,3,0.202,30.33333333333333,3.5,2,0,0.05,逃げ
20250809,09,6R,4,4,4,22,0.2,0.15,0,0,9.0,0.0,0.0,1.0,0.0,0.0,11.1,0,3,0.04,-18,1,4,2,4,0.202,30.33333333333333,3.5,3,0,0.06,逃げ
20250809,09,6R,5,5,4,19,,,0,0,,,,,,,,0,0,0.0,-21,1,6,1,5,0.202,30.33333333333333,3.5,6,0,0.07,逃げ
20250809,09,6R,6,6,4,37,0.25,0.25,1,0,8.0,0.0,0.0,1.0,0.0,0.0,12.5,0,1,0.09,-3,1,5,5,6,0.202,30.33333333333333,3.5,5,0,0.1,逃げ
