date,pid,race,lane,startCourse,class,age,avgST_rc,ec_avgST,flying,late,ss_starts,ss_first,ss_second,ss_third,ms_winRate,ms_top2Rate,ms_top3Rate,win_k,lose_k,d_avgST_rc,d_age,d_class,rank_avgST,rank_age,rank_class,mean_avgST_rc,mean_age,mean_class,rank,win,st,decision
20250810,06,3R,1,1,2,45,0.17,0.16,0,0,15,11,0,2,73.3,73.3,86.6,11,2,0.01,5,-1,4,5,3,0.1633333333333333,39.333333333333336,1.8333333333333333,5,0,0.1,まくり差し
20250810,06,3R,2,2,3,58,0.17,0.18,0,0,15,2,4,6,13.3,40.0,80.0,2,0,0.01,18,0,5,6,6,0.1633333333333333,39.333333333333336,1.8333333333333333,3,0,0.08,まくり差し
20250810,06,3R,3,3,2,37,0.16,0.15,0,0,23,3,2,6,13.0,21.7,47.8,3,3,0.0,-3,-1,3,4,4,0.1633333333333333,39.333333333333336,1.8333333333333333,6,0,0.16,まくり差し
20250810,06,3R,4,4,1,36,0.15,0.15,0,0,21,6,3,4,28.5,42.8,61.9,6,1,-0.01,-4,-2,1,3,1,0.1633333333333333,39.333333333333336,1.8333333333333333,1,1,0.1,まくり差し
20250810,06,3R,5,5,1,28,0.15,0.14,0,0,19,1,4,4,5.2,26.3,47.3,1,3,-0.01,-12,-2,2,1,2,0.1633333333333333,39.333333333333336,1.8333333333333333,2,0,0.19,まくり差し
20250810,06,3R,6,6,2,32,0.18,0.18,0,0,29,0,1,4,0.0,3.4,17.2,0,2,0.0199999999999999,-8,-1,6,2,5,0.1633333333333333,39.333333333333336,1.8333333333333333,4,0,0.17,まくり差し
