date,pid,race,lane,startCourse,class,age,avgST_rc,ec_avgST,flying,late,ss_starts,ss_first,ss_second,ss_third,ms_winRate,ms_top2Rate,ms_top3Rate,d_avgST_rc,d_age,d_class,rank_avgST,rank_age,rank_class,mean_avgST_rc,mean_age,mean_class,winK_逃げ,loseK_逃げ,winK_差し,loseK_差し,winK_まくり,loseK_まくり,winK_まくり差し,loseK_まくり差し,winK_抜き,loseK_抜き,winK_恵まれ,loseK_恵まれ,winK_total,loseK_total,rank,win,st,decision
20250816,13,12R,1,1,1,63,0.16,0.15,0,0,22.0,14.0,4.0,0.0,63.6,81.8,81.8,0.0,23,-2,4,6,1,0.15,44.5,1.0,13,0,0,3,0,3,0,2,1,0,0,0,14,8,1,1,0.14,逃げ
20250816,13,12R,2,2,1,55,0.17,0.19,0,0,17.0,4.0,6.0,1.0,23.5,58.8,64.7,0.01,15,-2,5,5,2,0.15,44.5,1.0,0,7,2,0,2,3,0,2,0,1,0,0,4,13,4,0,0.15,逃げ
20250816,13,12R,3,3,1,37,0.14,0.12,0,0,22.0,7.0,3.0,4.0,31.8,45.4,63.6,-0.0199999999999999,-3,-2,2,3,3,0.15,44.5,1.0,0,10,2,1,4,3,0,1,0,0,1,0,7,15,2,0,0.07,逃げ
20250816,13,12R,4,4,1,35,0.12,0.1,1,0,20.0,7.0,6.0,2.0,35.0,65.0,75.0,-0.04,-5,-2,1,1,4,0.15,44.5,1.0,0,8,0,2,6,1,1,0,0,1,0,1,7,13,3,0,0.08,逃げ
20250816,13,12R,5,5,1,41,0.17,0.18,0,0,18.0,3.0,3.0,4.0,16.6,33.3,55.5,0.01,1,-2,6,4,5,0.15,44.5,1.0,0,11,0,1,0,0,1,2,2,1,0,0,3,15,6,0,0.17,逃げ
20250816,13,12R,6,6,1,36,0.14,0.13,0,0,23.0,3.0,7.0,1.0,13.0,43.4,47.8,-0.0199999999999999,-4,-2,3,2,6,0.15,44.5,1.0,0,10,1,2,0,5,2,2,0,1,0,0,3,20,5,0,0.11,逃げ
