date,pid,race,lane,startCourse,class,age,avgST_rc,ec_avgST,flying,late,ss_starts,ss_first,ss_second,ss_third,ms_winRate,ms_top2Rate,ms_top3Rate,win_k,lose_k,d_avgST_rc,d_age,d_class,rank_avgST,rank_age,rank_class,mean_avgST_rc,mean_age,mean_class,rank,win,st,decision
20250811,06,11R,1,1,2,38,0.16,0.16,0,0,26,18,4,0,69.2,84.6,84.6,18,2,0.0,-2,-1,2,2,2,0.1716666666666666,41.16666666666666,1.8333333333333333,2,0,0.15,まくり差し
20250811,06,11R,2,2,2,45,0.17,0.18,0,0,20,3,5,1,15.0,40.0,45.0,3,2,0.01,5,-1,3,5,3,0.1716666666666666,41.16666666666666,1.8333333333333333,5,0,0.28,まくり差し
20250811,06,11R,3,3,1,43,0.18,0.19,1,0,20,4,4,9,20.0,40.0,85.0,4,2,0.0199999999999999,3,-2,5,4,1,0.1716666666666666,41.16666666666666,1.8333333333333333,4,0,0.26,まくり差し
20250811,06,11R,4,4,2,51,0.17,0.14,0,0,25,7,1,5,28.0,32.0,52.0,7,0,0.01,11,-1,4,6,4,0.1716666666666666,41.16666666666666,1.8333333333333333,3,0,0.22,まくり差し
20250811,06,11R,5,5,2,31,0.2,0.19,0,0,19,1,3,6,5.2,21.0,52.6,1,0,0.04,-9,-1,6,1,5,0.1716666666666666,41.16666666666666,1.8333333333333333,1,1,0.22,まくり差し
20250811,06,11R,6,6,2,39,0.15,0.18,1,0,12,1,0,4,8.3,8.3,41.6,1,1,-0.01,-1,-1,1,3,6,0.1716666666666666,41.16666666666666,1.8333333333333333,6,0,0.19,まくり差し
