date,pid,race,lane,startCourse,class,age,avgST_rc,ec_avgST,flying,late,ss_starts,ss_first,ss_second,ss_third,ms_winRate,ms_top2Rate,ms_top3Rate,win_k,lose_k,d_avgST_rc,d_age,d_class,rank_avgST,rank_age,rank_class,mean_avgST_rc,mean_age,mean_class,rank,win,st,decision
20250811,07,10R,1,1,1,44,0.15,0.14,0,0,30.0,19.0,5.0,0.0,63.3,80.0,80.0,19,8,-0.01,4,-2,2,5,1,0.1616666666666666,38.16666666666666,1.8333333333333333,1,1,0.07,逃げ
20250811,07,10R,2,2,1,53,0.17,0.17,0,0,34.0,8.0,12.0,2.0,23.5,58.8,64.7,8,3,0.01,13,-2,4,6,2,0.1616666666666666,38.16666666666666,1.8333333333333333,5,0,0.1,逃げ
20250811,07,10R,3,3,3,37,0.18,0.16,0,0,17.0,1.0,2.0,0.0,5.8,17.6,17.6,1,3,0.0199999999999999,-3,0,5,4,5,0.1616666666666666,38.16666666666666,1.8333333333333333,3,0,0.04,逃げ
20250811,07,10R,4,4,2,32,0.13,0.11,0,0,20.0,4.0,6.0,4.0,20.0,50.0,70.0,4,2,-0.03,-8,-1,1,2,4,0.1616666666666666,38.16666666666666,1.8333333333333333,6,0,0.05,逃げ
20250811,07,10R,5,5,1,36,0.15,0.14,0,0,25.0,1.0,8.0,8.0,4.0,36.0,68.0,1,4,-0.01,-4,-2,3,3,3,0.1616666666666666,38.16666666666666,1.8333333333333333,2,0,0.06,逃げ
20250811,07,10R,6,6,3,27,0.19,0.26,1,0,13.0,0.0,0.0,2.0,0.0,0.0,15.3,0,2,0.03,-13,0,6,1,6,0.1616666666666666,38.16666666666666,1.8333333333333333,4,0,0.15,逃げ
