date,pid,race,lane,startCourse,class,age,avgST_rc,ec_avgST,flying,late,ss_starts,ss_first,ss_second,ss_third,ms_winRate,ms_top2Rate,ms_top3Rate,win_k,lose_k,d_avgST_rc,d_age,d_class,rank_avgST,rank_age,rank_class,mean_avgST_rc,mean_age,mean_class,rank,win,st,decision
20250817,21,9R,1,1,2,40,0.16,0.14,0,0,27,15,7,2,55.5,81.4,88.8,15,6,0.0,0,-1,2,4,2,0.17,36.5,2.333333333333333,1,1,0.16,逃げ
20250817,21,9R,2,2,3,26,0.18,0.15,0,0,16,2,3,5,12.5,31.2,62.5,2,2,0.0199999999999999,-14,0,4,1,4,0.17,36.5,2.333333333333333,6,0,0.18,逃げ
20250817,21,9R,3,3,3,26,0.18,0.18,0,0,14,0,5,0,0.0,35.7,35.7,0,1,0.0199999999999999,-14,0,5,2,5,0.17,36.5,2.333333333333333,2,0,0.18,逃げ
20250817,21,9R,4,4,2,36,0.18,0.21,0,0,20,0,6,4,0.0,30.0,50.0,0,1,0.0199999999999999,-4,-1,6,3,3,0.17,36.5,2.333333333333333,5,0,0.28,逃げ
20250817,21,9R,5,5,3,42,0.17,0.19,0,0,13,0,1,1,0.0,7.6,15.3,0,3,0.01,2,0,3,5,6,0.17,36.5,2.333333333333333,4,0,0.27,逃げ
20250817,21,9R,6,6,1,49,0.15,0.18,0,0,14,0,1,2,0.0,7.1,21.4,0,1,-0.01,9,-2,1,6,1,0.17,36.5,2.333333333333333,3,0,0.25,逃げ
