date,pid,race,L1_startCourse,L1_class,L1_age,L1_avgST_rc,L1_ec_avgST,L1_flying,L1_late,L1_ss_starts,L1_ss_first,L1_ss_second,L1_ss_third,L1_ms_winRate,L1_ms_top2Rate,L1_ms_top3Rate,L1_win_k,L1_lose_k,L1_d_avgST_rc,L1_d_age,L1_d_class,L1_rank_avgST,L1_rank_age,L1_rank_class,L2_startCourse,L2_class,L2_age,L2_avgST_rc,L2_ec_avgST,L2_flying,L2_late,L2_ss_starts,L2_ss_first,L2_ss_second,L2_ss_third,L2_ms_winRate,L2_ms_top2Rate,L2_ms_top3Rate,L2_win_k,L2_lose_k,L2_d_avgST_rc,L2_d_age,L2_d_class,L2_rank_avgST,L2_rank_age,L2_rank_class,L3_startCourse,L3_class,L3_age,L3_avgST_rc,L3_ec_avgST,L3_flying,L3_late,L3_ss_starts,L3_ss_first,L3_ss_second,L3_ss_third,L3_ms_winRate,L3_ms_top2Rate,L3_ms_top3Rate,L3_win_k,L3_lose_k,L3_d_avgST_rc,L3_d_age,L3_d_class,L3_rank_avgST,L3_rank_age,L3_rank_class,L4_startCourse,L4_class,L4_age,L4_avgST_rc,L4_ec_avgST,L4_flying,L4_late,L4_ss_starts,L4_ss_first,L4_ss_second,L4_ss_third,L4_ms_winRate,L4_ms_top2Rate,L4_ms_top3Rate,L4_win_k,L4_lose_k,L4_d_avgST_rc,L4_d_age,L4_d_class,L4_rank_avgST,L4_rank_age,L4_rank_class,L5_startCourse,L5_class,L5_age,L5_avgST_rc,L5_ec_avgST,L5_flying,L5_late,L5_ss_starts,L5_ss_first,L5_ss_second,L5_ss_third,L5_ms_winRate,L5_ms_top2Rate,L5_ms_top3Rate,L5_win_k,L5_lose_k,L5_d_avgST_rc,L5_d_age,L5_d_class,L5_rank_avgST,L5_rank_age,L5_rank_class,L6_startCourse,L6_class,L6_age,L6_avgST_rc,L6_ec_avgST,L6_flying,L6_late,L6_ss_starts,L6_ss_first,L6_ss_second,L6_ss_third,L6_ms_winRate,L6_ms_top2Rate,L6_ms_top3Rate,L6_win_k,L6_lose_k,L6_d_avgST_rc,L6_d_age,L6_d_class,L6_rank_avgST,L6_rank_age,L6_rank_class,mean_avgST_rc,mean_age,mean_class
20250815,01,1R,1,3,51,0.21,0.14,0,0,15,6,2,2,40.0,53.3,66.6,6,5,0.04999999999999999,11,0,4,5,1,2,3,22,0.22,0.18,1,0,13,0,0,0,0.0,0.0,0.0,0,2,0.06,-18,0,5,3,2,3,3,55,0.2,0.2,0,0,18,0,5,4,0.0,27.7,50.0,0,2,0.04000000000000001,15,0,3,6,3,4,3,29,0.18,0.16,0,0,18,0,3,3,0.0,16.6,33.3,0,0,0.01999999999999999,-11,0,1,4,4,5,4,21,0.23,0.21,0,0,10.0,1.0,0.0,1.0,10.0,10.0,20.0,1,3,0.07,-19,1,6,2,5,6,4,17,0.19,0.15,0,0,66,0,0,0,0.0,0.0,0.0,0,22,0.03,-23,1,2,1,6,0.205,32.5,3.3333333333333335
20250815,01,2R,1,2,55,0.18,0.18,1,0,21,10,5,0,47.6,71.4,71.4,10,3,0.01999999999999999,15,-1,3,6,1,2,4,24,0.18,0.23,0,0,11,0,0,0,0.0,0.0,0.0,0,4,0.01999999999999999,-16,1,4,1,6,3,3,31,0.18,0.22,0,0,14,1,4,2,7.1,35.7,50.0,1,1,0.01999999999999999,-9,0,5,3,2,4,3,35,0.16,0.15,0,0,22,3,3,5,13.6,27.2,50.0,3,1,0.0,-5,0,1,4,3,5,3,28,0.19,0.19,0,0,9.0,0.0,0.0,1.0,0.0,0.0,11.1,0,3,0.03,-12,0,6,2,4,6,3,52,0.17,0.21,0,0,8,0,0,1,0.0,0.0,12.5,0,1,0.010000000000000009,12,0,2,5,5,0.17666666666666667,37.5,3.0
20250815,01,3R,1,3,34,0.16,0.13,0,0,15,5,4,2,33.3,60.0,73.3,5,6,0.0,-6,0,2,4,2,2,3,26,0.19,0.18,0,0,23,3,9,1,13.0,52.1,56.5,3,2,0.03,-14,0,4,3,3,3,3,46,0.16,0.15,0,0,16,4,4,2,25.0,50.0,62.5,4,1,0.0,6,0,3,5,4,4,2,50,0.14,0.16,0,0,19,1,3,6,5.2,21.0,52.6,1,4,-0.01999999999999999,10,-1,1,6,1,5,4,25,0.2,0.32,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.04000000000000001,-15,1,5,2,5,6,4,22,,0.17,1,0,38,0,0,0,0.0,0.0,0.0,0,8,0.0,-18,1,6,1,6,0.17,33.833333333333336,3.1666666666666665
20250815,01,4R,1,3,51,0.19,0.16,0,0,15,5,3,1,33.3,53.3,60.0,5,1,0.03,11,0,2,4,2,2,3,48,0.2,0.21,0,0,26,1,6,5,3.8,26.9,46.1,1,3,0.04000000000000001,8,0,4,3,3,3,3,56,0.19,0.16,1,0,28,2,6,7,7.1,28.5,53.5,2,2,0.03,16,0,3,6,4,4,4,24,0.24,0.26,0,0,4,0,0,0,0.0,0.0,0.0,0,1,0.07999999999999999,-16,1,5,2,5,5,4,23,0.26,0.2,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.1,-17,1,6,1,6,6,1,51,0.17,0.16,1,0,16,0,5,1,0.0,31.2,37.5,0,3,0.010000000000000009,11,-2,1,5,1,0.20833333333333334,42.166666666666664,3.0
20250815,01,5R,1,3,55,0.2,0.2,0,0,17,3,1,5,17.6,23.5,52.9,3,7,0.04000000000000001,15,0,5,6,2,2,1,39,0.16,0.16,1,0,21,5,10,2,23.8,71.4,80.9,5,2,0.0,-1,-2,1,4,1,3,3,36,0.16,0.18,0,0,21,4,3,3,19.0,33.3,47.6,4,2,0.0,-4,0,2,3,3,4,3,51,0.21,0.19,0,0,13,0,0,1,0.0,0.0,7.6,0,1,0.04999999999999999,11,0,6,5,4,5,3,28,0.16,0.16,0,0,21.0,4.0,1.0,3.0,19.0,23.8,38.1,4,6,0.0,-12,0,3,2,5,6,4,21,0.16,0.15,0,0,66,0,2,2,0.0,3.0,6.0,0,11,0.0,-19,1,4,1,6,0.17500000000000002,38.333333333333336,2.8333333333333335
20250815,01,6R,1,2,45,0.15,0.11,0,0,20,13,5,0,65.0,90.0,90.0,13,3,-0.010000000000000009,5,-1,1,5,1,2,3,52,0.17,0.15,0,0,24,1,5,5,4.1,25.0,45.8,1,4,0.010000000000000009,12,0,2,6,2,3,4,21,0.23,0.15,0,0,10,0,2,1,0.0,20.0,30.0,0,1,0.07,-19,1,6,2,4,4,3,31,0.18,0.18,0,0,14,0,0,7,0.0,0.0,50.0,0,2,0.01999999999999999,-9,0,3,4,3,5,4,17,0.19,0.18,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.03,-23,1,4,1,5,6,4,25,0.2,0.18,1,0,69,0,0,2,0.0,0.0,2.9,0,9,0.04000000000000001,-15,1,5,3,6,0.18666666666666665,31.833333333333332,3.3333333333333335
20250815,01,7R,1,2,50,0.14,0.13,0,0,23,11,6,2,47.8,73.9,82.6,11,6,-0.01999999999999999,10,-1,1,5,1,2,3,35,0.16,0.16,0,0,18,2,5,5,11.1,38.8,66.6,2,0,0.0,-5,0,2,4,3,3,2,55,0.18,0.18,1,0,21,2,5,7,9.5,33.3,66.6,2,7,0.01999999999999999,15,-1,3,6,2,4,3,22,0.22,0.25,1,0,17,0,0,2,0.0,0.0,11.7,0,2,0.06,-18,0,4,1,4,5,4,22,,,1,0,,,,,,,,0,0,0.0,-18,1,6,2,5,6,4,24,0.24,0.22,0,0,52,0,0,2,0.0,0.0,3.8,0,5,0.07999999999999999,-16,1,5,3,6,0.188,34.666666666666664,3.0
20250815,01,8R,1,3,56,0.19,0.22,1,0,16,3,4,3,18.7,43.7,62.5,3,4,0.03,16,0,4,6,1,2,3,28,0.19,0.2,0,0,15,1,1,2,6.6,13.3,26.6,1,6,0.03,-12,0,5,4,2,3,4,24,0.18,0.2,0,0,11,0,0,1,0.0,0.0,9.0,0,2,0.01999999999999999,-16,1,3,3,4,4,3,46,0.16,0.2,0,0,11,0,3,3,0.0,27.2,54.5,0,2,0.0,6,0,1,5,3,5,4,21,0.16,,0,0,,,,,,,,0,0,0.0,-19,1,2,1,5,6,4,23,0.26,0.22,1,0,91,0,1,0,0.0,1.1,1.1,0,17,0.1,-17,1,6,2,6,0.19000000000000003,33.0,3.5
20250815,01,9R,1,1,34,0.13,0.13,1,0,25,14,5,3,56.0,76.0,88.0,14,0,-0.03,-6,-2,2,2,1,2,1,40,0.12,0.14,0,0,27,8,8,4,29.6,59.2,74.0,8,2,-0.04000000000000001,0,-2,1,5,2,3,2,38,0.14,0.15,0,0,14,2,5,1,14.2,50.0,57.1,2,2,-0.01999999999999999,-2,-1,3,4,3,4,3,57,0.18,0.17,0,0,17,1,3,3,5.8,23.5,41.1,1,3,0.01999999999999999,17,0,6,6,6,5,2,37,0.17,0.17,0,0,22.0,3.0,4.0,4.0,13.6,31.8,50.0,3,4,0.010000000000000009,-3,-1,5,3,4,6,2,30,0.15,0.18,1,0,18,2,1,5,11.1,16.6,44.4,2,3,-0.010000000000000009,-10,-1,4,1,5,0.14833333333333334,39.333333333333336,1.8333333333333333
20250815,01,10R,1,1,53,0.16,0.16,0,0,35,24,6,3,68.5,85.7,94.2,24,2,0.0,13,-2,2,6,1,2,2,25,0.16,0.16,0,0,22,3,5,3,13.6,36.3,50.0,3,1,0.0,-15,-1,3,1,3,3,1,36,0.15,0.15,0,0,21,4,2,3,19.0,28.5,42.8,4,2,-0.010000000000000009,-4,-2,1,3,2,4,3,27,0.18,0.18,0,0,8,0,4,1,0.0,50.0,62.5,0,2,0.01999999999999999,-13,0,5,2,5,5,2,50,0.18,0.2,1,0,20.0,0.0,1.0,5.0,0.0,5.0,30.0,0,1,0.01999999999999999,10,-1,6,5,4,6,3,49,0.17,0.15,0,0,14,0,0,3,0.0,0.0,21.4,0,1,0.010000000000000009,9,0,4,4,6,0.16666666666666666,40.0,2.0
