date,pid,race,lane,startCourse,class,age,avgST_rc,ec_avgST,flying,late,ss_starts,ss_first,ss_second,ss_third,ms_winRate,ms_top2Rate,ms_top3Rate,win_k,lose_k,d_avgST_rc,d_age,d_class,rank_avgST,rank_age,rank_class,mean_avgST_rc,mean_age,mean_class,rank,win,st,decision
20250816,20,3R,1,1,3,38,0.16,0.15,0,0,14.0,4.0,0.0,2.0,28.5,28.5,42.8,4,6,0.0,-2,0,5,4,4,0.14,36.833333333333336,2.333333333333333,2,0,0.23,差し
20250816,20,3R,2,2,1,37,0.13,0.13,1,0,19.0,1.0,8.0,2.0,5.2,47.3,57.8,1,2,-0.03,-3,-2,2,3,1,0.14,36.833333333333336,2.333333333333333,1,1,0.17,差し
20250816,20,3R,3,3,2,27,0.15,0.16,1,0,19.0,6.0,2.0,4.0,31.5,42.1,63.1,6,2,-0.01,-13,-1,4,2,3,0.14,36.833333333333336,2.333333333333333,6,0,0.33,差し
20250816,20,3R,4,4,4,23,,,0,0,,,,,,,,0,0,0.0,-17,1,6,1,6,0.14,36.833333333333336,2.333333333333333,5,0,0.23,差し
20250816,20,3R,5,5,1,38,0.14,0.11,0,0,13.0,1.0,1.0,5.0,7.6,15.3,53.8,1,2,-0.0199999999999999,-2,-2,3,5,2,0.14,36.833333333333336,2.333333333333333,4,0,0.23,差し
20250816,20,3R,6,6,3,58,0.12,,1,0,,,,,,,,0,0,-0.04,18,0,1,6,5,0.14,36.833333333333336,2.333333333333333,3,0,0.21,差し
