date,pid,race,lane,startCourse,class,age,avgST_rc,ec_avgST,flying,late,ss_starts,ss_first,ss_second,ss_third,ms_winRate,ms_top2Rate,ms_top3Rate,win_k,lose_k,d_avgST_rc,d_age,d_class,rank_avgST,rank_age,rank_class,mean_avgST_rc,mean_age,mean_class,rank,win,st,decision
20250809,14,9R,1,1,2,43,0.16,0.19,0,0,15,6,1,5,40.0,46.6,80.0,6,4,0.0,3,-1,2,4,1,0.1666666666666666,39.0,2.833333333333333,3,0,0.15,まくり差し
20250809,14,9R,2,2,3,39,0.15,0.13,0,0,23,4,6,4,17.3,43.4,60.8,4,1,-0.01,-1,0,1,3,2,0.1666666666666666,39.0,2.833333333333333,5,0,0.12,まくり差し
20250809,14,9R,3,3,3,52,0.17,0.15,0,0,16,1,3,3,6.2,25.0,43.7,1,2,0.01,12,0,3,6,3,0.1666666666666666,39.0,2.833333333333333,4,0,0.15,まくり差し
20250809,14,9R,4,4,3,35,0.17,0.11,0,0,15,3,0,2,20.0,20.0,33.3,3,0,0.01,-5,0,4,2,4,0.1666666666666666,39.0,2.833333333333333,6,0,0.09,まくり差し
20250809,14,9R,5,5,3,44,0.18,0.16,0,0,14,3,0,0,21.4,21.4,21.4,3,3,0.0199999999999999,4,0,6,5,5,0.1666666666666666,39.0,2.833333333333333,1,1,0.27,まくり差し
20250809,14,9R,6,6,3,21,0.17,0.17,1,0,59,1,2,4,1.6,5.0,11.8,1,11,0.01,-19,0,5,1,6,0.1666666666666666,39.0,2.833333333333333,2,0,0.18,まくり差し
