date,pid,race,lane,startCourse,class,age,avgST_rc,ec_avgST,flying,late,ss_starts,ss_first,ss_second,ss_third,ms_winRate,ms_top2Rate,ms_top3Rate,win_k,lose_k,d_avgST_rc,d_age,d_class,rank_avgST,rank_age,rank_class,mean_avgST_rc,mean_age,mean_class,rank,win,st,decision
20250816,22,3R,1,1,3,47,0.17,0.15,0,0,15.0,8.0,4.0,2.0,53.3,80.0,93.3,8,3,0.01,7,0,4,6,2,0.16,37.833333333333336,2.6666666666666665,1,1,0.22,逃げ
20250816,22,3R,2,2,3,46,0.17,0.14,0,0,19.0,2.0,1.0,6.0,10.5,15.7,47.3,2,1,0.01,6,0,5,5,3,0.16,37.833333333333336,2.6666666666666665,2,0,0.25,逃げ
20250816,22,3R,3,3,1,37,0.14,0.17,0,0,23.0,3.0,8.0,7.0,13.0,47.8,78.2,3,2,-0.0199999999999999,-3,-2,1,3,1,0.16,37.833333333333336,2.6666666666666665,4,0,0.2,逃げ
20250816,22,3R,4,4,3,37,0.16,0.13,1,0,19.0,2.0,2.0,6.0,10.5,21.0,52.6,2,1,0.0,-3,0,3,4,4,0.16,37.833333333333336,2.6666666666666665,3,0,0.18,逃げ
20250816,22,3R,5,5,3,35,0.15,0.14,1,0,16.0,0.0,0.0,2.0,0.0,0.0,12.5,0,1,-0.01,-5,0,2,2,5,0.16,37.833333333333336,2.6666666666666665,6,0,0.16,逃げ
20250816,22,3R,6,6,3,25,0.17,0.16,1,0,21.0,1.0,0.0,2.0,4.7,4.7,14.2,1,5,0.01,-15,0,6,1,6,0.16,37.833333333333336,2.6666666666666665,5,0,0.18,逃げ
